state	power	likelihood
970	0.653254	-14257.2
980	0.653254	-14250.9
990	0.653254	-14265.8
1000	0.653254	-14254.9
260	0.583825	-14259.5
270	0.583825	-14249.6
280	0.583825	-14265.1
290	0.583825	-14263.7
300	0.583825	-14279.4
310	0.583825	-14264.4
320	0.583825	-14274.8
330	0.583825	-14254.2
340	0.583825	-14265.7
350	0.583825	-14274.6
360	0.583825	-14263.7
370	0.583825	-14267.4
380	0.583825	-14272.6
390	0.583825	-14273.1
400	0.583825	-14262.4
410	0.583825	-14262.7
420	0.583825	-14260.9
430	0.583825	-14276.3
440	0.583825	-14267.5
450	0.583825	-14266.6
460	0.583825	-14261
470	0.583825	-14256.9
480	0.583825	-14253.2
490	0.583825	-14255.7
500	0.583825	-14272.8
510	0.583825	-14264.6
520	0.583825	-14256.9
530	0.583825	-14258
540	0.583825	-14266.3
550	0.583825	-14252.2
560	0.583825	-14259.4
570	0.583825	-14269.4
580	0.583825	-14254.4
590	0.583825	-14248
600	0.583825	-14257.9
610	0.583825	-14274.3
620	0.583825	-14265.3
630	0.583825	-14264.5
640	0.583825	-14255
650	0.583825	-14267
660	0.583825	-14259.1
670	0.583825	-14270.5
680	0.583825	-14269.2
690	0.583825	-14256.4
700	0.583825	-14271.5
710	0.583825	-14261.3
720	0.583825	-14258.3
730	0.583825	-14262
740	0.583825	-14260.6
750	0.583825	-14267.4
760	0.583825	-14257.6
770	0.583825	-14261.8
780	0.583825	-14262.5
790	0.583825	-14257.2
800	0.583825	-14255.4
810	0.583825	-14249
820	0.583825	-14262.8
830	0.583825	-14255.9
840	0.583825	-14267.7
850	0.583825	-14259.7
860	0.583825	-14250.9
870	0.583825	-14266.7
880	0.583825	-14252.9
890	0.583825	-14249.8
900	0.583825	-14259.3
910	0.583825	-14262.1
920	0.583825	-14259.5
930	0.583825	-14265.6
940	0.583825	-14260.7
950	0.583825	-14255.1
960	0.583825	-14260.9
970	0.583825	-14254.9
980	0.583825	-14265.3
990	0.583825	-14251.7
1000	0.583825	-14256.6
260	0.520429	-14277.2
270	0.520429	-14260.8
280	0.520429	-14266.9
290	0.520429	-14258.6
300	0.520429	-14270.4
310	0.520429	-14270.9
320	0.520429	-14273.1
330	0.520429	-14254.5
340	0.520429	-14264.7
350	0.520429	-14263.5
360	0.520429	-14266.1
370	0.520429	-14274
380	0.520429	-14263.4
390	0.520429	-14261.7
400	0.520429	-14264.7
410	0.520429	-14263
420	0.520429	-14266.2
430	0.520429	-14272.7
440	0.520429	-14262.5
450	0.520429	-14265.7
460	0.520429	-14273.2
470	0.520429	-14269.8
480	0.520429	-14256.9
490	0.520429	-14261.6
500	0.520429	-14263.2
510	0.520429	-14262.8
520	0.520429	-14269.6
530	0.520429	-14269.5
540	0.520429	-14268.8
550	0.520429	-14271.7
560	0.520429	-14272.9
570	0.520429	-14263.9
580	0.520429	-14263.4
590	0.520429	-14254.1
600	0.520429	-14259.1
610	0.520429	-14264.7
620	0.520429	-14273.3
630	0.520429	-14273.5
640	0.520429	-14267.2
650	0.520429	-14265.2
660	0.520429	-14272.7
670	0.520429	-14263.1
680	0.520429	-14266.4
690	0.520429	-14274.7
700	0.520429	-14272.4
710	0.520429	-14269.3
720	0.520429	-14275.4
730	0.520429	-14273.2
740	0.520429	-14251.7
750	0.520429	-14283.7
760	0.520429	-14274.1
770	0.520429	-14271.6
780	0.520429	-14275.3
790	0.520429	-14257.7
800	0.520429	-14270.8
810	0.520429	-14270.2
820	0.520429	-14260.3
830	0.520429	-14274
