state	power	likelihood
460	0.280503	-14281.8
470	0.280503	-14298
480	0.280503	-14286.9
490	0.280503	-14274.3
500	0.280503	-14268.9
510	0.280503	-14300.4
520	0.280503	-14281.4
530	0.280503	-14287.3
540	0.280503	-14273.9
550	0.280503	-14293
560	0.280503	-14287.9
570	0.280503	-14287.6
580	0.280503	-14266.5
590	0.280503	-14295.8
600	0.280503	-14288.1
610	0.280503	-14270.8
620	0.280503	-14254.8
630	0.280503	-14252.2
640	0.280503	-14285.3
650	0.280503	-14273.9
660	0.280503	-14258.1
670	0.280503	-14269.2
680	0.280503	-14261.4
690	0.280503	-14284.9
700	0.280503	-14234.4
710	0.280503	-14246.9
720	0.280503	-14248.3
730	0.280503	-14298.3
740	0.280503	-14279.1
750	0.280503	-14259.7
760	0.280503	-14296.1
770	0.280503	-14297
780	0.280503	-14298
790	0.280503	-14278
800	0.280503	-14311.7
810	0.280503	-14279.4
820	0.280503	-14295
830	0.280503	-14308.2
840	0.280503	-14290.6
850	0.280503	-14273.3
860	0.280503	-14297.2
870	0.280503	-14283.4
880	0.280503	-14296.4
890	0.280503	-14289.9
900	0.280503	-14289
910	0.280503	-14289.1
920	0.280503	-14268.4
930	0.280503	-14284.8
940	0.280503	-14275.2
950	0.280503	-14305.7
960	0.280503	-14293.5
970	0.280503	-14282.6
980	0.280503	-14283.1
990	0.280503	-14317.4
1000	0.280503	-14284
260	0.245487	-14314.9
270	0.245487	-14306.9
280	0.245487	-14317.7
290	0.245487	-14339.9
300	0.245487	-14300.2
310	0.245487	-14318
320	0.245487	-14336.7
330	0.245487	-14313.5
340	0.245487	-14288.2
350	0.245487	-14287.1
360	0.245487	-14289.3
370	0.245487	-14327.8
380	0.245487	-14284.5
390	0.245487	-14302.7
400	0.245487	-14314.8
410	0.245487	-14300.4
420	0.245487	-14273
430	0.245487	-14271.9
440	0.245487	-14299
450	0.245487	-14282.4
460	0.245487	-14329.8
470	0.245487	-14316.8
480	0.245487	-14302.6
490	0.245487	-14300.5
500	0.245487	-14294.2
510	0.245487	-14366.1
520	0.245487	-14307.1
530	0.245487	-14324.4
540	0.245487	-14277.7
550	0.245487	-14263.9
560	0.245487	-14305.1
570	0.245487	-14293.5
580	0.245487	-14294.5
590	0.245487	-14307.3
600	0.245487	-14279.4
610	0.245487	-14293.8
620	0.245487	-14277.7
630	0.245487	-14289.4
640	0.245487	-14266.4
650	0.245487	-14297.9
660	0.245487	-14320
670	0.245487	-14315.9
680	0.245487	-14281.8
690	0.245487	-14296.4
700	0.245487	-14314.4
710	0.245487	-14309.9
720	0.245487	-14300
730	0.245487	-14319.1
740	0.245487	-14278.6
750	0.245487	-14285.8
760	0.245487	-14316.7
770	0.245487	-14296.4
780	0.245487	-14304.9
790	0.245487	-14300.3
800	0.245487	-14294.6
810	0.245487	-14304.8
820	0.245487	-14270.3
830	0.245487	-14313.4
840	0.245487	-14317
850	0.245487	-14285.9
860	0.245487	-14291.4
870	0.245487	-14302.3
880	0.245487	-14278.5
890	0.245487	-14303.7
900	0.245487	-14298.3
910	0.245487	-14294.2
920	0.245487	-14293
930	0.245487	-14292.8
940	0.245487	-14289.5
950	0.245487	-14299.4
960	0.245487	-14273.8
970	0.245487	-14288
980	0.245487	-14256.1
990	0.245487	-14321
1000	0.245487	-14292.6
260	0.214058	-14278
270	0.214058	-14302.9
280	0.214058	-14286.4
290	0.214058	-14322.7
300	0.214058	-14276
310	0.214058	-14290.3
320	0.214058	-14300.9
330	0.214058	-14317.8
340	0.214058	-14317.4
350	0.214058	-14309
360	0.214058	-14313
370	0.214058	-14353.2
380	0.214058	-14295.8
390	0.214058	-14300
