Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
62	0	-257101.6	-257036.2	-65.40513	1.904369	0.008226893	0.01876878	-1.394903	0.120623	0.263375	0.116696	0.115688	0.269816	0.113802	1.535748	3.68761e-74	2.87572e-37	1.09442e-15	4	0.300774	0.178539	0.213087	0.3076	0.1408455	10.90377
63	1	-255530	-255412.3	-117.6916	50.02397	0.04825322	0.0007123001	0.1113683	0.124138	0.261954	0.115672	0.105966	0.275477	0.116793	0.002797285	1.8561e-13	6.42952e-07	0.00430368	3.9957	0.300182	0.179588	0.212576	0.307654	0.1141656	0.02450199
64	0	-257099.5	-257033.7	-65.81417	1.904369	0.01500813	0.01856284	-1.502973	0.115871	0.261639	0.118571	0.114926	0.275941	0.113052	1.633519	4.29134e-41	9.8042e-21	7.95349e-09	4	0.300774	0.178539	0.213087	0.3076	0.1305459	12.51298
65	1	-255526.1	-255408.4	-117.6748	50.02397	0.04123999	0.0007087089	-0.04861581	0.125079	0.265078	0.11341	0.112461	0.269463	0.114508	0.09041212	1.4037e-15	5.59465e-08	0.00156271	3.99844	0.299478	0.179167	0.212077	0.309279	0.04179632	2.16316
66	0	-257097.7	-257033.4	-64.32209	1.904369	0.01987828	0.01863522	-0.8199042	0.124036	0.261449	0.118173	0.108657	0.275014	0.112672	0.9237638	2.88718e-31	8.03838e-16	8.70433e-07	4	0.300774	0.178539	0.213087	0.3076	0.1038597	8.894346
67	1	-255500.9	-255380.9	-119.9751	50.02397	0.04327848	0.0006591895	-0.04397303	0.12581	0.266792	0.114143	0.106801	0.271205	0.115249	0.165815	6.83533e-15	1.23435e-07	0.00217001	3.99783	0.299478	0.179167	0.212077	0.309279	0.121842	1.360902
68	0	-257097.9	-257033.7	-64.21806	1.904369	0.006587858	0.01875026	-0.9684936	0.119878	0.269355	0.116246	0.105357	0.270529	0.118635	1.09811	2.28808e-92	2.26554e-46	1.82361e-19	4	0.300774	0.178539	0.213087	0.3076	0.1296168	8.471974
69	1	-255504.9	-255384.9	-120.0187	50.92821	0.02460147	0.0006378066	-0.003170903	0.124604	0.264237	0.119112	0.105778	0.267906	0.118363	0.1339855	1.88333e-25	6.48959e-13	1.39979e-05	3.99999	0.299478	0.179167	0.212077	0.309279	0.1308146	1.02424
70	0	-257098.3	-257033.6	-64.79442	1.904369	0.01708391	0.01874147	-1.152625	0.123394	0.255357	0.119655	0.112286	0.278463	0.110845	1.313708	3.21121e-36	2.68146e-18	8.16385e-08	4	0.300774	0.178539	0.213087	0.3076	0.1610825	8.155497
71	1	-255491.3	-255370.6	-120.7516	50.92821	0.0424474	0.0006395635	-0.1046728	0.124604	0.264237	0.119112	0.105778	0.267906	0.118363	0.1253981	3.65131e-15	9.02225e-08	0.00190539	3.99809	0.299478	0.179167	0.212077	0.309279	0.02072523	6.050503
72	0	-257096	-257032.5	-63.45208	1.904369	0.006126863	0.01846914	-1.332998	0.120238	0.261714	0.113804	0.112128	0.278071	0.114046	1.368202	3.04246e-99	8.26164e-50	6.82354e-21	4	0.300774	0.178539	0.213087	0.3076	0.03520433	38.86459
73	1	-255485.6	-255365.9	-119.6407	52.90603	0.01614795	0.0006373097	-0.02720754	0.125475	0.259095	0.119944	0.106517	0.269778	0.119191	0.08694078	2.91141e-38	2.55343e-19	3.07667e-08	4	0.299478	0.179167	0.212077	0.309279	0.05973325	1.455484
74	0	-257097.2	-257033.3	-63.84876	1.904369	0.02019752	0.01898602	-1.13024	0.120238	0.261714	0.113804	0.112128	0.278071	0.114046	1.228711	8.69299e-31	1.39477e-15	1.09409e-06	4	0.300774	0.178539	0.213087	0.3076	0.09847153	12.47783
75	1	-255488.5	-255369.1	-119.4101	52.90603	0.03651908	0.0006386149	-0.04816509	0.122384	0.271155	0.11699	0.109463	0.263754	0.116254	0.07311858	1.82131e-17	6.3753e-09	0.000634647	3.99937	0.297124	0.180231	0.212601	0.310043	0.0249535	2.930194
76	0	-257098.1	-257034.3	-63.79343	1.904369	0.03308423	0.01845513	-0.8512556	0.119617	0.268241	0.113216	0.113147	0.269733	0.116046	0.9203229	3.54016e-19	8.89095e-10	0.000280267	3.99972	0.300774	0.178539	0.213087	0.3076	0.06906735	13.32501
77	1	-255491.1	-255370.6	-120.4326	52.90603	0.02898485	0.0006304007	-0.0008495595	0.130865	0.267648	0.124113	0.108048	0.260342	0.108985	0.06356986	9.45316e-22	4.59598e-11	8.19902e-05	3.99992	0.297785	0.180632	0.213074	0.308508	0.0627203	1.013545
78	0	-257103.2	-257039.5	-63.65387	1.904369	0.02139616	0.01900317	-1.145363	0.119939	0.268964	0.117064	0.107214	0.27046	0.116359	1.240273	4.06432e-29	9.53604e-15	2.42942e-06	4	0.300774	0.178539	0.213087	0.3076	0.09490959	13.06794
79	1	-255487.1	-255366.9	-120.2364	52.90603	0.01142427	0.0006301258	0.03086981	0.121243	0.269311	0.127233	0.103599	0.266888	0.111725	0.07482585	1.11778e-53	5.0053e-27	1.94674e-11	4	0.297122	0.18023	0.2126	0.310048	0.1056957	0.7079368
80	0	-257104.7	-257041.8	-62.91181	1.904369	0.02252689	0.01921193	-1.008436	0.120198	0.269544	0.1147	0.110813	0.276064	0.108681	1.054662	1.05031e-27	4.8472e-14	4.77002e-06	4	0.300885	0.178605	0.212795	0.307715	0.04622558	22.81555
81	1	-255478.6	-255358.5	-120.1187	52.90603	0.0103314	0.0006207813	-0.04300814	0.122161	0.271352	0.122581	0.106974	0.262668	0.114263	0.07967717	2.9768e-59	8.16898e-30	1.35687e-12	4	0.297091	0.180211	0.212683	0.310015	0.03666903	2.172873
82	0	-257103.9	-257040.6	-63.31563	1.904369	0.02626299	0.01897413	-1.243891	0.127001	0.259733	0.1141	0.114191	0.274333	0.110642	1.302997	6.65347e-24	3.8567e-12	2.93244e-05	3.99997	0.300885	0.178605	0.212795	0.307715	0.0591059	22.04513
83	1	-255475.9	-255355.1	-120.7996	52.85094	0.01276764	0.0006161434	0.05033041	0.122256	0.271562	0.122676	0.103446	0.265708	0.114352	0.08361366	3.91916e-48	2.96345e-24	2.7535e-10	4	0.296386	0.180391	0.212896	0.310326	0.1339441	0.6242431
84	0	-257109.6	-257046.1	-63.4938	1.904369	0.009044338	0.01923148	-1.034999	0.122497	0.269688	0.115944	0.106383	0.275512	0.109976	1.133328	1.51709e-67	5.83241e-34	2.58058e-14	4	0.300885	0.178605	0.212795	0.307715	0.09832931	11.52584
85	1	-255478.3	-255357.5	-120.7835	52.85094	0.04071643	0.0006247323	-0.002052543	0.122256	0.271562	0.122676	0.103446	0.265708	0.114352	0.1189569	9.11149e-16	4.50764e-08	0.00142874	3.99857	0.297205	0.18089	0.211907	0.309998	0.1169043	1.017557
86	0	-257100.2	-257036.1	-64.09212	1.904369	0.009812719	0.01912204	-0.9012811	0.12106	0.272056	0.114319	0.109348	0.268456	0.114761	1.035507	2.47459e-62	2.3554e-31	3.11431e-13	4	0.300885	0.178605	0.212795	0.307715	0.1342256	7.714672
87	1	-255481.9	-255361.7	-120.1349	52.85094	0.0254593	0.0006167537	-0.02481295	0.12839	0.267893	0.121018	0.104016	0.26844	0.110242	0.07675405	1.2573e-24	1.67665e-12	2.07546e-05	3.99998	0.297205	0.18089	0.211907	0.309998	0.05194111	1.477713
88	0	-257094.6	-257032.2	-62.42039	1.904369	0.007283749	0.01931124	-0.9916621	0.118861	0.267115	0.115219	0.107361	0.274954	0.116489	1.011959	1.23248e-83	5.25774e-42	1.1825e-17	4	0.300516	0.179614	0.212534	0.307337	0.02029682	49.858
89	1	-255478.3	-255357.7	-120.5395	52.85094	0.004777014	0.0006228129	-0.001132561	0.127173	0.262304	0.120628	0.104441	0.264444	0.121009	0.1156839	5.20295e-127	1.08051e-63	1.18011e-26	4	0.297205	0.18089	0.211907	0.309998	0.1145514	1.009887
90	0	-257090.2	-257027.6	-62.59456	1.904369	0.02168206	0.01922018	-1.137899	0.120967	0.266017	0.114032	0.109766	0.272122	0.117096	1.178184	9.55025e-29	1.46174e-14	2.90055e-06	4	0.300516	0.179614	0.212534	0.307337	0.04028571	29.24571
